COUNTRY_NAME,COUNTRY,VENDOR_ID,BDR_ID,DELIVERY_CENTER_ID,SECTOR_ID,SEGMENT_BDR,TIME_LIMIT,AVAILABLE_TIME_DENOMINATOR,AVAILABLE_TIME_LIMIT_COUNTRY_NO_SEGMENT_BDR,IDEAL_TIME_LIMIT,IDEAL_TIME_LIMIT_NO_SEGMENT_BDR,MONTH_YEAR
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR459025010023,45902501,802,KT / CONJUNTA,15,250,19,null,null,2024-04-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136008010011,1360080001,null,KT / CONJUNTA,15,250,19,null,null,2024-04-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR606048010065,6060480001,null,AUTOSERVICIOS,40,250,19,null,null,2024-05-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR109650,139,null,KT / CONJUNTA,15,250,19,null,null,2024-05-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR119644,212,null,KT / CONJUNTA,15,250,19,null,null,2024-05-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR399782020106,39978202,941,KT / CONJUNTA,15,250,19,null,null,2024-05-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR097849010011,0978490001,null,KT / CONJUNTA,15,250,19,null,null,2024-05-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135940010910,1359400001,null,KT / CONJUNTA,15,250,19,null,null,2024-05-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135901010024,13590101,91,AUTOSERVICIOS,40,250,19,null,null,2024-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR115520,212,null,KT / CONJUNTA,15,250,19,null,null,2024-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR115745050054,11574505,941,KT / CONJUNTA,15,250,19,null,null,2024-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR445625010011,44562501,802,KT / CONJUNTA,15,250,19,null,null,2024-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR155205010001,15520501,53,KT / CONJUNTA,15,250,19,null,null,2024-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR382508010003,3825080001,null,KT / CONJUNTA,15,250,19,null,null,2024-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135949010023,1359490001,null,AUTOSERVICIOS,40,250,19,null,null,2023-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR085078010080,08507801,107,AUTOSERVICIOS,40,250,19,null,null,2023-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR110472,-,800,KT / CONJUNTA,15,250,19,null,null,2023-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR070429010002,07042901,941,KT / CONJUNTA,15,250,19,null,null,2023-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR166364010004,1663640001,null,KT / CONJUNTA,15,250,19,null,null,2023-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR189895020061,1898950010,null,KT / CONJUNTA,15,250,19,null,null,2023-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135905010036,1359050001,null,AUTOSERVICIOS,40,250,19,null,null,2023-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR459025010053,4590250001,null,KT / CONJUNTA,15,250,19,null,null,2023-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR137381020011,13738102,941,KT / CONJUNTA,15,250,19,null,null,2023-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136165010028,13616501,90,KT / CONJUNTA,15,250,19,null,null,2023-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR646475010044,6464750001,null,KT / CONJUNTA,15,250,19,null,null,2023-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR358870010006,3588700001,null,KT / CONJUNTA,15,250,19,null,null,2023-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR090051010033,0900510001,null,KT / CONJUNTA,15,250,19,null,null,2023-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR459025010105,4590250001,null,KT / CONJUNTA,15,250,19,null,null,2023-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR427906110121,42790611,941,KT / CONJUNTA,15,250,19,null,null,2023-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR155205010024,1552050001,null,KT / CONJUNTA,15,250,19,null,null,2023-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136099010002,13609901,53,KT / CONJUNTA,15,250,19,null,null,2023-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR646475010051,64647501,911,KT / CONJUNTA,15,250,19,null,null,2023-03-01
